"","Address","Restaurant","Food","Price","Cuisine","Latitude","Longitude"
"1","10 Exchange St Charleston, SC, 29401","The Boathouse","Benne Seed-Crusted Fried Calamari","








6.95


","Seafood, American",32.7768389,-79.9261996
"2","10 Exchange St Charleston, SC, 29401","The Boathouse","Dirty Bird","








10.00


","Seafood, American",32.7768389,-79.9261996
"3","10 Exchange St Charleston, SC, 29401","The Boathouse","Chive Mashed Potatoes","









","Seafood, American",32.7768389,-79.9261996
"4","10 Exchange St Charleston, SC, 29401","The Boathouse","Blackened Seared Rare Tuna","








9.95


","Seafood, American",32.7768389,-79.9261996
"5","10 Exchange St Charleston, SC, 29401","The Boathouse","Blanca Cosmo","








8.00


","Seafood, American",32.7768389,-79.9261996
"6","10 Exchange St Charleston, SC, 29401","The Boathouse","Red Rice Stone Ground Grits","









","Seafood, American",32.7768389,-79.9261996
"7","10 Exchange St Charleston, SC, 29401","The Boathouse","Fried Shrimp","








6.95


","Seafood, American",32.7768389,-79.9261996
"8","10 Exchange St Charleston, SC, 29401","The Boathouse","French Cosmo","








10.00


","Seafood, American",32.7768389,-79.9261996
"9","10 Exchange St Charleston, SC, 29401","The Boathouse","Vegetable of the Day","









","Seafood, American",32.7768389,-79.9261996
"10","10 Exchange St Charleston, SC, 29401","The Boathouse","Fried Oysters","








6.95


","Seafood, American",32.7768389,-79.9261996
"11","10 Exchange St Charleston, SC, 29401","The Boathouse","Apple Martini","








8.00


","Seafood, American",32.7768389,-79.9261996
"12","10 Exchange St Charleston, SC, 29401","The Boathouse","'Best Ever' Collard Greens","









","Seafood, American",32.7768389,-79.9261996
"13","10 Exchange St Charleston, SC, 29401","The Boathouse","Portobello Fries","








6.95


","Seafood, American",32.7768389,-79.9261996
"14","10 Exchange St Charleston, SC, 29401","The Boathouse","Caramel Appletini","








8.00


","Seafood, American",32.7768389,-79.9261996
"15","10 Exchange St Charleston, SC, 29401","The Boathouse","Tarragon Asparagus","









","Seafood, American",32.7768389,-79.9261996
"16","10 Exchange St Charleston, SC, 29401","The Boathouse","Fried Green Tomatoes","








6.95


","Seafood, American",32.7768389,-79.9261996
"17","10 Exchange St Charleston, SC, 29401","The Boathouse","Raspberry Martini","








8.00


","Seafood, American",32.7768389,-79.9261996
"18","10 Exchange St Charleston, SC, 29401","The Boathouse","Penne with Four-Cheese Cream Sauce","









","Seafood, American",32.7768389,-79.9261996
"19","10 Exchange St Charleston, SC, 29401","The Boathouse","Crab Fritters","








7.95


","Seafood, American",32.7768389,-79.9261996
"20","10 Exchange St Charleston, SC, 29401","The Boathouse","Milky Way Martini","








9.00


","Seafood, American",32.7768389,-79.9261996
"21","10 Exchange St Charleston, SC, 29401","The Boathouse","Grilled Shrimp","








5.95


","Seafood, American",32.7768389,-79.9261996
"22","10 Exchange St Charleston, SC, 29401","The Boathouse","Applewood Bacon-Wrapped Jumbo Scallops","








9.95


","Seafood, American",32.7768389,-79.9261996
"23","10 Exchange St Charleston, SC, 29401","The Boathouse","Chocolate Macaroon","








9.00


","Seafood, American",32.7768389,-79.9261996
"24","10 Exchange St Charleston, SC, 29401","The Boathouse","Seared Scallops","








5.95


","Seafood, American",32.7768389,-79.9261996
"25","10 Exchange St Charleston, SC, 29401","The Boathouse","Boathouse Seafood Chowder","








5.50


","Seafood, American",32.7768389,-79.9261996
"26","10 Exchange St Charleston, SC, 29401","The Boathouse","Dark Chocolate Godiva","








9.00


","Seafood, American",32.7768389,-79.9261996
"27","10 Exchange St Charleston, SC, 29401","The Boathouse","Crab Cake","








7.95


","Seafood, American",32.7768389,-79.9261996
"28","10 Exchange St Charleston, SC, 29401","The Boathouse","The Boathosue Salad","








4.95


","Seafood, American",32.7768389,-79.9261996
"29","10 Exchange St Charleston, SC, 29401","The Boathouse","Seasonal Fresh Fruit Plate","








5.95


","Seafood, American",32.7768389,-79.9261996
"30","10 Exchange St Charleston, SC, 29401","The Boathouse","Half Order of Lobster Tails","








15.95


","Seafood, American",32.7768389,-79.9261996
"31","10 Exchange St Charleston, SC, 29401","The Boathouse","Spinach Salad","








6.95


","Seafood, American",32.7768389,-79.9261996
"32","10 Exchange St Charleston, SC, 29401","The Boathouse","Yogurt and Granola Parfait","








6.95


","Seafood, American",32.7768389,-79.9261996
"33","10 Exchange St Charleston, SC, 29401","The Boathouse","Guinness","








4.25


","Seafood, American",32.7768389,-79.9261996
"34","10 Exchange St Charleston, SC, 29401","The Boathouse","Caesar Salad","








5.95


","Seafood, American",32.7768389,-79.9261996
"35","10 Exchange St Charleston, SC, 29401","The Boathouse","Soup of the Day","








4.95


","Seafood, American",32.7768389,-79.9261996
"36","10 Exchange St Charleston, SC, 29401","The Boathouse","Bass","








4.00


","Seafood, American",32.7768389,-79.9261996
"37","10 Exchange St Charleston, SC, 29401","The Boathouse","Penne Primavera","












11.95+


","Seafood, American",32.7768389,-79.9261996
"38","10 Exchange St Charleston, SC, 29401","The Boathouse","House Salad","








3.95


","Seafood, American",32.7768389,-79.9261996
"39","10 Exchange St Charleston, SC, 29401","The Boathouse","Sierra Nevada","








4.00


","Seafood, American",32.7768389,-79.9261996
"40","10 Exchange St Charleston, SC, 29401","The Boathouse","Seafood Pasta","








19.95


","Seafood, American",32.7768389,-79.9261996
"41","10 Exchange St Charleston, SC, 29401","The Boathouse","Small Caesar Salad","








4.95


","Seafood, American",32.7768389,-79.9261996
"42","10 Exchange St Charleston, SC, 29401","The Boathouse","Michelob Light","








3.75


","Seafood, American",32.7768389,-79.9261996
"43","10 Exchange St Charleston, SC, 29401","The Boathouse","Pasta Pomodoro","








12.95


","Seafood, American",32.7768389,-79.9261996
"44","10 Exchange St Charleston, SC, 29401","The Boathouse","Boathouse","








12.95


","Seafood, American",32.7768389,-79.9261996
"45","10 Exchange St Charleston, SC, 29401","The Boathouse","Highland Gaelic Ale","








4.00


","Seafood, American",32.7768389,-79.9261996
"46","10 Exchange St Charleston, SC, 29401","The Boathouse","Lumb Crab Cakes","








19.95


","Seafood, American",32.7768389,-79.9261996
"47","10 Exchange St Charleston, SC, 29401","The Boathouse","Traditional","








8.95


","Seafood, American",32.7768389,-79.9261996
"48","10 Exchange St Charleston, SC, 29401","The Boathouse","Newcastle","








4.00


","Seafood, American",32.7768389,-79.9261996
"49","10 Exchange St Charleston, SC, 29401","The Boathouse","Filet and Lobster","








28.95


","Seafood, American",32.7768389,-79.9261996
"50","10 Exchange St Charleston, SC, 29401","The Boathouse","Smoked Trout","








8.95


","Seafood, American",32.7768389,-79.9261996
"51","10 Exchange St Charleston, SC, 29401","The Boathouse","Budweiser","








3.00


","Seafood, American",32.7768389,-79.9261996
"52","10 Exchange St Charleston, SC, 29401","The Boathouse","Butter-Poached Lobster Tails","








30.95


","Seafood, American",32.7768389,-79.9261996
"53","10 Exchange St Charleston, SC, 29401","The Boathouse","Steak and Eggs","








11.95


","Seafood, American",32.7768389,-79.9261996
"54","10 Exchange St Charleston, SC, 29401","The Boathouse","Bud Light","








3.00


","Seafood, American",32.7768389,-79.9261996
"55","10 Exchange St Charleston, SC, 29401","The Boathouse","Chef's Grilled Seafood Combination","








22.95


","Seafood, American",32.7768389,-79.9261996
"56","10 Exchange St Charleston, SC, 29401","The Boathouse","Vegetable","








7.95


","Seafood, American",32.7768389,-79.9261996
"57","10 Exchange St Charleston, SC, 29401","The Boathouse","Coors Light","








3.00


","Seafood, American",32.7768389,-79.9261996
"58","10 Exchange St Charleston, SC, 29401","The Boathouse","Stuffed Boneless Chicken","








17.95


","Seafood, American",32.7768389,-79.9261996
"59","10 Exchange St Charleston, SC, 29401","The Boathouse","Biscuits with Sausage Gravy","








6.95


","Seafood, American",32.7768389,-79.9261996
"60","10 Exchange St Charleston, SC, 29401","The Boathouse","Michelob Light","








3.25


","Seafood, American",32.7768389,-79.9261996
"61","10 Exchange St Charleston, SC, 29401","The Boathouse","Tuna and Shrimp","








23.95


","Seafood, American",32.7768389,-79.9261996
"62","10 Exchange St Charleston, SC, 29401","The Boathouse","Omelette","








7.95


","Seafood, American",32.7768389,-79.9261996
"63","10 Exchange St Charleston, SC, 29401","The Boathouse","Michelob Ultra","








3.25


","Seafood, American",32.7768389,-79.9261996
"64","10 Exchange St Charleston, SC, 29401","The Boathouse","Fried Catfish with Lump Crab Meat","








18.95


","Seafood, American",32.7768389,-79.9261996
"65","10 Exchange St Charleston, SC, 29401","The Boathouse","Blueberry Buttermilk Pancakes","








7.95


","Seafood, American",32.7768389,-79.9261996
"66","10 Exchange St Charleston, SC, 29401","The Boathouse","Miller Lite","








3.00


","Seafood, American",32.7768389,-79.9261996
"67","10 Exchange St Charleston, SC, 29401","The Boathouse","BBQ Pork Spare Ribs","








16.95


","Seafood, American",32.7768389,-79.9261996
"68","10 Exchange St Charleston, SC, 29401","The Boathouse","Spicy Shrimp and Grits","








11.95


","Seafood, American",32.7768389,-79.9261996
"69","10 Exchange St Charleston, SC, 29401","The Boathouse","Rolling Rock","








3.00


","Seafood, American",32.7768389,-79.9261996
"70","10 Exchange St Charleston, SC, 29401","The Boathouse","Lightly Smoked Roasted Half Duck","








21.95


","Seafood, American",32.7768389,-79.9261996
"71","10 Exchange St Charleston, SC, 29401","The Boathouse","Caesar Salad","












7.95+


","Seafood, American",32.7768389,-79.9261996
"72","10 Exchange St Charleston, SC, 29401","The Boathouse","Anchor Steam","








3.75


","Seafood, American",32.7768389,-79.9261996
"73","10 Exchange St Charleston, SC, 29401","The Boathouse","Spicy Shrimp and Grits","








17.95


","Seafood, American",32.7768389,-79.9261996
"74","10 Exchange St Charleston, SC, 29401","The Boathouse","Seared 6oz. Beef Tenderloin","








19.95


","Seafood, American",32.7768389,-79.9261996
"75","10 Exchange St Charleston, SC, 29401","The Boathouse","Highland Mocha Stout","








3.75


","Seafood, American",32.7768389,-79.9261996
"76","10 Exchange St Charleston, SC, 29401","The Boathouse","Filet and Crab Cake","








26.95


","Seafood, American",32.7768389,-79.9261996
"77","10 Exchange St Charleston, SC, 29401","The Boathouse","Seared Salmon Over Mixed Greens","








9.95


","Seafood, American",32.7768389,-79.9261996
"78","10 Exchange St Charleston, SC, 29401","The Boathouse","Highland Oatmeal Porter","








3.75


","Seafood, American",32.7768389,-79.9261996
"79","10 Exchange St Charleston, SC, 29401","The Boathouse","Pecan-Crusted Local Rainbow Trout","








17.95


","Seafood, American",32.7768389,-79.9261996
