"","X","Address","Restaurant","Food","Price","Cuisine","Latitude","Longitude","City"
"1",1,"1 Charles St Boston, MA, 02108","Ostra","U-8 Shrimp",25,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"2",2,"1 Charles St Boston, MA, 02108","Ostra","Crisp Snow Pea",17,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"3",3,"1 Charles St Boston, MA, 02108","Ostra","Spain's Jamon Iberico",29,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"4",4,"1 Charles St Boston, MA, 02108","Ostra","New England Coastal Fish Soup",19,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"5",5,"1 Charles St Boston, MA, 02108","Ostra","Prime Sirloin Carpaccio",25,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"6",6,"1 Charles St Boston, MA, 02108","Ostra","Grilled Spanish Octopus",25,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"7",7,"1 Charles St Boston, MA, 02108","Ostra","Crisp Calamari ""Rhode Island Style""",18,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"8",8,"1 Charles St Boston, MA, 02108","Ostra","Crisp Native Oysters",22,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"9",9,"1 Charles St Boston, MA, 02108","Ostra","Ricotta Gnocchetti",25,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"10",10,"1 Charles St Boston, MA, 02108","Ostra","Simple Salad",12,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"11",11,"1 Charles St Boston, MA, 02108","Ostra","Small Leaf Heirloom Kale",16,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"12",12,"1 Charles St Boston, MA, 02108","Ostra","Artisanal Cheeses",25,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"13",13,"1 Charles St Boston, MA, 02108","Ostra","Grilled Sea Bream in Trevisano Leaf",43,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"14",14,"1 Charles St Boston, MA, 02108","Ostra","Grilled Faroe Island Salmon",40,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"15",15,"1 Charles St Boston, MA, 02108","Ostra","Paella ""Valenciana Style""",49,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"16",16,"1 Charles St Boston, MA, 02108","Ostra","Broiled Maine Lobster",76,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"17",17,"1 Charles St Boston, MA, 02108","Ostra","Grilled Branzino Filet",41,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"18",18,"1 Charles St Boston, MA, 02108","Ostra","Grilled Filet Mignon Maitre'd Hotel",45,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"19",19,"1 Charles St Boston, MA, 02108","Ostra","Grilled Prime Sirloin Maitre'd Hotel",43,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"20",20,"1 Charles St Boston, MA, 02108","Ostra","Grilled Prime Ribeye Maitre'd Hotel",45,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"21",21,"1 Charles St Boston, MA, 02108","Ostra","Roasted All Natural Carnish Game Hen",28,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"22",22,"1 Charles St Boston, MA, 02108","Ostra","Roasted Spring Vegetables",10,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"23",23,"1 Charles St Boston, MA, 02108","Ostra","Exotic Mushrooms, Shallots, Thyme",17,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"24",24,"1 Charles St Boston, MA, 02108","Ostra","Leafy Greens, Currants and Garlic",9,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"25",25,"1 Charles St Boston, MA, 02108","Ostra","Truffle-Parmesan Fries",13,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"26",26,"1 Charles St Boston, MA, 02108","Ostra","Shishito Peppers with Sea Salt",10,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"27",27,"1 Charles St Boston, MA, 02108","Ostra","Pommes Puree",6,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"28",28,"1 Charles St Boston, MA, 02108","Ostra","Chocolate Hazelnut Cremeux",14,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"29",29,"1 Charles St Boston, MA, 02108","Ostra","Warm Chocolate Torte",16,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
