"","Address","Restaurant","Cuisine","Latitude","Longitude","City"
"1","1 Charles St Boston, MA, 02108","Ostra","American (New), Seafood",42.3564175,-71.0694344,"Boston"
"2","1 Harborside Dr Boston, MA, 02128","Legal C Bar","Seafood",42.3634422,-71.0257812,"Boston"
"3","1 Seaport Ln Boston, MA, 02210","Aura","American (New), Seafood",42.34924,-71.0415124,"Boston"
"4","10 City Sq Charlestown, MA, 02129","Legal Osteria","Italian, Seafood, Tapas",42.3723837,-71.0616159,"Boston"
"5","100 Huntington Ave Boston, MA, 02116","Legal Sea Foods","Seafood, New England",42.3471447,-71.0773777,"Boston"
"6","101 Harborside Dr Boston, MA, 02128","Harborside Grill and Patio","American (New), Seafood",42.3592641,-71.0272118,"Boston"
"7","106 Bunker Hill St Charlestown, MA, 02129","Kipo's","Pizza, Sandwiches, Seafood",42.3775161,-71.0586242,"Boston"
"8","135 Market St Brighton, MA, 02135","Stockyard","Seafood, Steak, American",42.3577819,-71.1485205,"Boston"
"9","1375 Washington Street Boston, MA, 02118","Boston Chops","Seafood, Steak",42.3415092,-71.0695165,"Boston"
"10","1401 Washington St Boston, MA, 02118","Morse Fish Company","Seafood",42.3412541,-71.0701926,"Boston"
"11","15 Fish Pier Rd Boston, MA, 02210","No Name Restaurant","Seafood, New England",42.3503378,-71.0380163,"Boston"
"12","15 Northern Ave Boston, MA, 02210","James Hook & Co Lobsters","Seafood",42.3549799,-71.0509465,"Boston"
"13","15 Union St Boston, MA, 02108","Blackstone Grill","Seafood, American, New England",42.36085,-71.056624,"Boston"
"14","1560 Vfw Pkwy West Roxbury, MA, 02132","Long John Silver's","Seafood, American",42.2668244,-71.1685472,"Boston"
"15","160 Milk Street Boston, MA, 02109","Central Wharf Co.","American (New), Seafood",42.358714,-71.052724,"Boston"
"16","1735 Centre St West Roxbury, MA, 02132","Himalayan Bistro","Seafood, Chicken",42.2874312,-71.1497486,"Boston"
"17","1856 Centre St West Roxbury, MA, 02132","Phu-Ket Thai Restaurant","Thai, Seafood, Asian",42.2860147,-71.1545676,"Boston"
"18","19 Union St Boston, MA, 02108","The Tap","Sandwiches, Seafood, Wings",42.3608802,-71.0567251,"Boston"
"19","2 Northern Ave Boston, MA, 02210","The Daily Catch","Seafood",42.354338,-71.0479456,"Boston"
"20","20 Charles St Boston, MA, 02114","The Upper Crust Pizzeria","Italian, Pizza, Seafood, Pasta",42.3565591,-71.0697892,"Boston"
"21","200 Atlantic Ave Boston, MA, 02110","Tia's","Seafood",42.3603203,-71.0512967,"Boston"
"22","220 Northern Ave Boston, MA, 02210","75 on Liberty Wharf","Seafood, American",42.3491069,-71.0388891,"Boston"
"23","225 Northern Ave Boston, MA, 02210","LTK","American (New), Seafood, New England",42.3483314,-71.0385873,"Boston"
"24","243 Dorchester St South Boston, MA, 02127","Alfredo's Italian Kitchen","Italian, Pizza, Seafood, American, Pasta, Wraps, Salads, Healthy, Subs",42.3328355,-71.0513289,"Boston"
"25","25 Tyler St Boston, MA, 02111","GaGa Seafood","Chinese, Seafood",42.3506704,-71.0609622,"Boston"
"26","255 State St Boston, MA, 02109","Legal Sea Foods","Seafood, New England",42.3593857,-71.0513553,"Boston"
"27","26 Park Plz Boston, MA, 02116","Legal Sea Foods","Seafood, New England",42.3509603,-71.0677556,"Boston"
"28","26 Porter St East Boston, MA, 02128","Off the Boat","Seafood, New England",42.3746613,-71.0378793,"Boston"
"29","266 Commercial St Boston, MA, 02109","Four Winds Seafood Grille","Southwestern, Seafood",42.364317,-71.051351,"Boston"
"30","27 Beach St Boston, MA, 02111","East Ocean City","Chinese, Seafood",42.3512603,-71.0618016,"Boston"
