"","X","Restaurant","Cuisine","Address","City"
"1",1,"The Tap","Sandwiches, Seafood, Wings","19 Union St Boston, MA, 02108","Boston"
"2",2,"Harborside Grill and Patio","American (New), Seafood","101 Harborside Dr Boston, MA, 02128","Boston"
"3",3,"L'Espalier","French, Seafood, Vegetarian, New England","774 Boylston St Boston, MA, 02199","Boston"
"4",4,"Morse Fish Company","Seafood","1401 Washington St Boston, MA, 02118","Boston"
"5",5,"Legal Sea Foods","Seafood, New England","255 State St Boston, MA, 02109","Boston"
"6",6,"Four Winds Seafood Grille","Southwestern, Seafood","266 Commercial St Boston, MA, 02109","Boston"
"7",7,"Rincon Limeno Restaurant","Peruvian, Seafood, South American","409 Chelsea St Boston, MA, 02128","Boston"
"8",8,"Island Creek Oyster Bar","Seafood, Gastropub, Local/Organic, New England","500 Commonwealth Ave Boston, MA, 02215","Boston"
"9",9,"LTK","American (New), Seafood, New England","225 Northern Ave Boston, MA, 02210","Boston"
"10",10,"The Daily Catch","Seafood","323 Hanover St Boston, MA, 02113","Boston"
"11",11,"Chau Chow City","Chinese, Seafood","83 Essex St Boston, MA, 02111","Boston"
"12",12,"Towne Stove and Spirits","American (New), Seafood, Eclectic & International, Cocktails","900 Boylston St Boston, MA, 02115","Boston"
"13",13,"Oceanaire","Seafood, New England","40 Court St Boston, MA, 02108","Boston"
"14",14,"Bubor Cha Cha","Chinese, Dim Sum, Seafood","45 Beach St Boston, MA, 02111","Boston"
"15",15,"Blackstone Grill","Seafood, American, New England","15 Union St Boston, MA, 02108","Boston"
"16",16,"Boston Sail Loft","Seafood, American","80 Atlantic Ave Boston, MA, 02110","Boston"
"17",17,"Atlantic Fish Company","Seafood, New England","761 Boylston St Boston, MA, 02116","Boston"
"18",18,"Royal Roast Beef and Seafood","Sandwiches, Seafood, New England","752 Bennington St East Boston, MA, 02128","Boston"
"19",19,"Yankee Lobster","Seafood, New England","300 Northern Ave Boston, MA, 02210","Boston"
"20",20,"75 Chestnut","American (New), Seafood, American","75 Chestnut St Boston, MA, 02108","Boston"
"21",21,"Durgin Park","Seafood, American, New England","340 N Market St Boston, MA, 02109","Boston"
"22",22,"The Upper Crust Pizzeria","Italian, Pizza, Seafood, Pasta","20 Charles St Boston, MA, 02114","Boston"
"23",23,"Salty Dog Seafood Grille & Bar","Seafood","206 Faneuil Hall Marketplace Boston, MA, 02109","Boston"
"24",24,"McCormick & Schmick's","Seafood, Steak","Faneuil Hall Marketplace Boston, MA, 02109","Boston"
"25",25,"James Hook & Co Lobsters","Seafood","15 Northern Ave Boston, MA, 02210","Boston"
"26",26,"Abe & Louie's Steakhouse","Seafood, Steak","793 Boylston St Boston, MA, 02116","Boston"
"27",27,"New Jumbo Seafood","Chinese, Seafood","5 Hudson St Boston, MA, 02111","Boston"
"28",28,"Aura","American (New), Seafood","1 Seaport Ln Boston, MA, 02210","Boston"
"29",29,"Kipo's","Pizza, Sandwiches, Seafood","106 Bunker Hill St Charlestown, MA, 02129","Boston"
"30",30,"New Golden Gate","Chinese, Seafood, Vegetarian","66 Beach St Boston, MA, 02111","Boston"
"31",31,"Neptune Oyster","Seafood, New England","63 Salem St Boston, MA, 02113","Boston"
"32",32,"Miel","French, Seafood","510 Atlantic Ave Boston, MA, 02210","Boston"
"33",33,"Tia's","Seafood","200 Atlantic Ave Boston, MA, 02110","Boston"
"34",34,"B&G Oysters","Seafood, New England","550 Tremont St Boston, MA, 02116","Boston"
"35",35,"Legal Harborside","Seafood","270 Northern Ave Boston, MA, 02210","Boston"
"36",36,"Dry Dock Cafe","Diner, Seafood","7 Drydock Ave Boston, MA, 02210","Boston"
"37",37,"Off the Boat","Seafood, New England","26 Porter St East Boston, MA, 02128","Boston"
"38",38,"No Name Restaurant","Seafood, New England","15 Fish Pier Rd Boston, MA, 02210","Boston"
"39",39,"The Daily Catch","Seafood","2 Northern Ave Boston, MA, 02210","Boston"
"40",40,"Union Oyster House","Seafood","41 Union St Boston, MA, 02108","Boston"
"41",41,"Chart House","Seafood, Steak","60 Long Wharf Boston, MA, 02110","Boston"
"42",42,"Stockyard","Seafood, Steak, American","135 Market St Brighton, MA, 02135","Boston"
"43",43,"Legal Sea Foods","Seafood, New England","100 Huntington Ave Boston, MA, 02116","Boston"
"44",44,"Legal Sea Foods","Seafood, New England","26 Park Plz Boston, MA, 02116","Boston"
