"","Address","Restaurant","Food","Price","Cuisine","Latitude","Longitude"
"1","1135 Forest Ave Portland, ME, 04103","Susan's Fish N Chips","Cheeseburger","








3.99


","Seafood",43.6860231,-70.2918727
"2","1135 Forest Ave Portland, ME, 04103","Susan's Fish N Chips","French Fries","








1.99


","Seafood",43.6860231,-70.2918727
"3","1135 Forest Ave Portland, ME, 04103","Susan's Fish N Chips","Crab Roll","








9.99


","Seafood",43.6860231,-70.2918727
"4","1135 Forest Ave Portland, ME, 04103","Susan's Fish N Chips","Hotdog","








1.99


","Seafood",43.6860231,-70.2918727
"5","1135 Forest Ave Portland, ME, 04103","Susan's Fish N Chips","Fried Clam Roll","








7.99


","Seafood",43.6860231,-70.2918727
"6","1135 Forest Ave Portland, ME, 04103","Susan's Fish N Chips","Homemade Onion Rings","








2.99


","Seafood",43.6860231,-70.2918727
"7","1135 Forest Ave Portland, ME, 04103","Susan's Fish N Chips","Fried Shrimp Roll","








10.99


","Seafood",43.6860231,-70.2918727
"8","1135 Forest Ave Portland, ME, 04103","Susan's Fish N Chips","Fried Veggie Boat","








7.99


","Seafood",43.6860231,-70.2918727
"9","1135 Forest Ave Portland, ME, 04103","Susan's Fish N Chips","Hamburger","








2.99


","Seafood",43.6860231,-70.2918727
"10","1135 Forest Ave Portland, ME, 04103","Susan's Fish N Chips","Shrimp Dinnah","








14.99


","Seafood",43.6860231,-70.2918727
"11","1135 Forest Ave Portland, ME, 04103","Susan's Fish N Chips","Smelts Dinnah","








8.99


","Seafood",43.6860231,-70.2918727
"12","1135 Forest Ave Portland, ME, 04103","Susan's Fish N Chips","Trout Dinnah","








9.99


","Seafood",43.6860231,-70.2918727
"13","1135 Forest Ave Portland, ME, 04103","Susan's Fish N Chips","Calamari Dinnah","








13.00


","Seafood",43.6860231,-70.2918727
"14","1135 Forest Ave Portland, ME, 04103","Susan's Fish N Chips","Seafood Platter Dinnah","








25.00


","Seafood",43.6860231,-70.2918727
"15","1135 Forest Ave Portland, ME, 04103","Susan's Fish N Chips","Chicken Dinnah","








7.99


","Seafood",43.6860231,-70.2918727
"16","1135 Forest Ave Portland, ME, 04103","Susan's Fish N Chips","Clam Cake Dinnah","








6.99


","Seafood",43.6860231,-70.2918727
"17","1135 Forest Ave Portland, ME, 04103","Susan's Fish N Chips","Combo Dinners Dinnah","








16.99


","Seafood",43.6860231,-70.2918727
"18","1135 Forest Ave Portland, ME, 04103","Susan's Fish N Chips","Scallop Dinnah","








14.99


","Seafood",43.6860231,-70.2918727
"19","1135 Forest Ave Portland, ME, 04103","Susan's Fish N Chips","Calamari (Quart)","








15.99


","Seafood",43.6860231,-70.2918727
"20","1135 Forest Ave Portland, ME, 04103","Susan's Fish N Chips","Shrimp","








8.99


","Seafood",43.6860231,-70.2918727
