"","Restaurant","Similar_Restaurant","Address","Cuisine","Latitude","Longitude","City"
"1","24 Hour Pizza Delivery","Nick's House of Pizza & Seafood, The Upper Crust Pizzeria, Alfredo's Italian Kitchen, Supreme House of Pizza, Arboretum Pizza Grill","686 Morton St Boston, MA, 02126","Italian, Pizza, Seafood, American, Wraps, Subs",42.2847472,-71.0920479,"Boston"
"2","75 Chestnut","Legal Osteria, 75 on Liberty Wharf, Boston Chops, Abe & Louie's Steakhouse, Oceanaire","75 Chestnut St Boston, MA, 02108","American (New), Seafood, American",42.3569134,-71.0709941,"Boston"
"3","75 on Liberty Wharf","Boston Chops, Abe & Louie's Steakhouse, Legal Osteria, Oceanaire, McCormick & Schmick's","220 Northern Ave Boston, MA, 02210","Seafood, American",42.3491069,-71.0388891,"Boston"
"4","A W Shuck's Seafood","Charleston Crab House 145, Charleston Crab House 41, Fleet Landing, The Crab Shack 1901, Crab Shack, The Crab Shack 8486","35 S Market St Charleston, SC, 29401","Seafood, American",32.7806886,-79.9281525,"Charleston"
"5","Abe & Louie's Steakhouse","Boston Chops, Oceanaire, McCormick & Schmick's, 75 on Liberty Wharf, Legal Osteria","793 Boylston St Boston, MA, 02116","Seafood, Steak",42.3492394,-71.0816024,"Boston"
"6","Alfredo's Italian Kitchen","The Upper Crust Pizzeria, Supreme House of Pizza, Arboretum Pizza Grill, Nick's House of Pizza & Seafood, 24 Hour Pizza Delivery","243 Dorchester St South Boston, MA, 02127","Italian, Pizza, Seafood, American, Pasta, Wraps, Salads, Healthy, Subs",42.3328355,-71.0513289,"Boston"
"7","Amen Street Fish & Rawbar","Brother's Crawfish, Ostra, Fire House Seafood, Pearlz Oyster Bar 153, Pearlz Oyster Bar 9","205 E Bay St Charleston, SC, 29401","Seafood",32.780193,-79.9273161,"Charleston"
"8","Anson","Blossom, Hyman's Seafood, The Boathouse 10, The Boathouse 38, The Boathouse 549","12 Anson St Charleston, SC, 29401","Seafood, American",32.7817611,-79.9289112,"Charleston"
"9","Arboretum Pizza Grill","Supreme House of Pizza, Alfredo's Italian Kitchen, The Upper Crust Pizzeria, Nick's House of Pizza & Seafood, 24 Hour Pizza Delivery","4025 Washington St Roslindale, MA, 02131","Italian, Mexican, Burgers, Pizza, Sandwiches, Seafood, American, Wings, Pasta, Salads, Grill, Healthy, Subs",42.2919422,-71.1225008,"Boston"
"10","Atlantic Fish Company","Tia's, The Tap, James Hook & Co Lobsters, KO Pies, Legal C Bar","761 Boylston St Boston, MA, 02116","Seafood, New England",42.3492534,-71.0811514,"Boston"
"11","Aura","Lorenz Island Kuisine, China Bo ($1 Chinese Rice/#1 Chinese Food), Fish, Miel, Harborside Grill and Patio","1 Seaport Ln Boston, MA, 02210","American (New), Seafood",42.34924,-71.0415124,"Boston"
"12","B&G Oysters","Cypress Restaurant, Neptune Oyster, LTK, Jasper White's Summer Shack, Legal Harborside","550 Tremont St Boston, MA, 02116","Seafood, New England",42.343915,-71.071329,"Boston"
"13","Barking Crab","Legal C Bar, Legal Crossing, Island Creek Oyster Bar, Cypress Restaurant, B&G Oysters","88 Sleeper St Boston, MA, 02210","Seafood, New England",42.3538179,-71.0486393,"Boston"
"14","Blackstone Grill","No Name Restaurant, Hank's Seafood Restaurant, Central Wharf Co., Street & Co., Walter's","15 Union St Boston, MA, 02108","Seafood, American, New England",42.36085,-71.056624,"Boston"
"15","Blossom","Anson, Hyman's Seafood, The Boathouse 10, The Boathouse 38, The Boathouse 549","171 E Bay St Charleston, SC, 29401","Seafood, American",32.778945,-79.9272716,"Charleston"
"16","Boston Chops","Abe & Louie's Steakhouse, Oceanaire, McCormick & Schmick's, 75 on Liberty Wharf, Legal Osteria","1375 Washington Street Boston, MA, 02118","Seafood, Steak",42.3415092,-71.0695165,"Boston"
"17","Boston Sail Loft","Bubba Gump Shrimp Co., Gilbert's Chowder House, Off the Boat, J's Oyster, Weathervane Seafood Restaurant","80 Atlantic Ave Boston, MA, 02110","Seafood, American",42.362474,-71.0505556,"Boston"
"18","Brother's Crawfish","Fire House Seafood, Pearlz Oyster Bar 153, Pearlz Oyster Bar 9, A W Shuck's Seafood, Charleston Crab House 145, Charleston Crab House 41","272 Adams St Dorchester, MA, 02122","Cajun & Creole, Southern, Seafood",42.299952,-71.0579946,"Boston"
"19","Bubba Gump Shrimp Co.","Boston Sail Loft, Gilbert's Chowder House, Off the Boat, J's Oyster, Weathervane Seafood Restaurant","99 S Market St Charleston, SC, 29401","Seafood, American",32.7804165,-79.9309005,"Charleston"
"20","Bubor Cha Cha","New Golden Gate, GaGa Seafood, New Jumbo Seafood, East Ocean City, Chau Chow City","45 Beach St Boston, MA, 02111","Chinese, Dim Sum, Seafood",42.3513171,-71.060926,"Boston"
"21","Captain D's 1936","KO Pies, Tia's, Fire House Seafood, Atlantic Fish Company, The Tap","1936 Savannah Hwy Charleston, SC, 29407","Seafood, American",32.7892096,-80.0247385,"Charleston"
"22","Captain D's 4008","KO Pies, Tia's, Fire House Seafood, Atlantic Fish Company, The Tap","4008 Rivers Ave Charleston, SC, 29405","Seafood, American",32.8655566,-79.9887144,"Charleston"
"23","Captain D's 5130","KO Pies, Tia's, Fire House Seafood, Atlantic Fish Company, The Tap","5130 Ashley Phosphate Rd Charleston, SC, 29418","Seafood, American",32.9161868,-80.105756,"Charleston"
