"","Restaurant","Similar_Restaurant","Address","Cuisine","Latitude","Longitude","City"
"1","212 Steakhouse","Maloney & Porcelli, Boston Chops, Mastro's Steakhouse, Legal Crossing, The Sea Fire Grill","316 E 53rd St New York, NY, 10022","Seafood, Steak",40.7563,-73.96655,"New York City"
"2","24 Hour Pizza Delivery","Telio, Alfredo's Italian Kitchen, Supreme House of Pizza, Crown Fried Chicken, Nick's House of Pizza & Seafood","686 Morton St Boston, MA, 02126","Italian, Pizza, Seafood, American, Wraps, Subs",42.2847472,-71.0920479,"Boston"
"3","75 Chestnut","Ditch Plains, Frying Pan, The Claw, Towne Stove and Spirits, 75 on Liberty Wharf","75 Chestnut St Boston, MA, 02108","American (New), Seafood, American",42.3569134,-71.0709941,"Boston"
"4","75 on Liberty Wharf","75 Chestnut, The Claw, Ditch Plains, Frying Pan, Towne Stove and Spirits","220 Northern Ave Boston, MA, 02210","Seafood, American",42.3491069,-71.0388891,"Boston"
"5","A Taste Of Seafood","Captain D's 6326, Captain D's 1936, Captain D's 5130, Captain D's 4008, Lighthouse Fish Market & Restaurant","59 E 125th St New York, NY, 10035","Seafood, Soul Food",40.80576,-73.94006,"New York City"
"6","A W Shuck's Seafood","Coast, Bubba Gump Shrimp Co., JJR Highridge Fishery, Hyman's Seafood, Joon's Westside Fish","35 S Market St Charleston, SC, 29401","Seafood, American",32.7806886,-79.9281525,"Charleston"
"7","Abe & Louie's Steakhouse","Prime 333, Cafe Espanol 78, The Mermaid Inn, The Mermaid Inn, Charlie Palmer Steak","793 Boylston St Boston, MA, 02116","Seafood, Steak",42.3492394,-71.0816024,"Boston"
"8","Alaska Fish Market","Calle 174 Pescaderia (fka Sea Flower), Amsterdam Ave Fish, Bubba Gump Shrimp Co. 99, Ben & Jack's Steakhouse 219, El Palacio Seafood Market","3668 Broadway New York, NY, 10031","Seafood",40.83054,-73.94716,"New York City"
"9","Albert's Mofongo","Junior's Seafood, Le Jardin Bistro, Cafe Espanol, Cafe Espanol, Red Hook Lobster Pound 16","4762 Broadway Ave New York, NY, 10034","Puerto Rican, Seafood, Caribbean, Salads, Healthy",40.86556,-73.92676,"New York City"
"10","Aldea - Quick-Service (Lunch)","Aura, East Bay Diner, Silver Star Restaurant, The Kitchen Sink, Wai Cafe","31 W 17th St New York, NY, 10011","Portuguese, Mediterranean, Seafood, Cocktails",40.73875,-73.99378,"New York City"
"11","Alfredo's Italian Kitchen","Supreme House of Pizza, Nick's House of Pizza & Seafood, Crown Fried Chicken, Arboretum Pizza Grill, Telio","243 Dorchester St South Boston, MA, 02127","Italian, Pizza, Seafood, American, Pasta, Wraps, Salads, Healthy, Subs",42.3328355,-71.0513289,"Boston"
"12","Amber Sushi (28th St)","Iron Sushi, Luke's Lobster 93, JJ Sushi Cafe, Lobster Smack, Ichiumi","381 3rd Ave New York, NY, 10016","Japanese, Sushi, Noodles, Seafood, Soups, Salads, Asian, Healthy, Lunch Specials",40.7415,-73.98093,"New York City"
"13","Amen Street Fish & Rawbar","Row 34, Joe's Crab Shack 2349, The Palm Too, DiMillo's Floating Restaurant & Marina, Claw Daddy's, Luke's Lobster 26","205 E Bay St Charleston, SC, 29401","Seafood",32.780193,-79.9273161,"Charleston"
"14","Amsterdam Ave Fish","Famous Fish Market, Long John Silver's, Luke's Lobster 426, Charleston Crab House 145, Charleston Crab House 41","975 Amsterdam Ave New York, NY, 10025","Seafood, Fish & Chips",40.80153,-73.96456,"New York City"
"15","Anassa Taverna","Walter's, Mary's Fish Camp, La Marina, Legal Osteria, Miel","200 E 60th St New York, NY, 10022","Greek, Mediterranean, Seafood",40.76191,-73.96588,"New York City"
"16","Anson","Captain Marden's Seafoods, Union Oyster House, Fish Market, Fish, Barking Crab","12 Anson St Charleston, SC, 29401","Seafood, American",32.7817611,-79.9289112,"Charleston"
"17","Arboretum Pizza Grill","Nick's House of Pizza & Seafood, Crown Fried Chicken, Supreme House of Pizza, Alfredo's Italian Kitchen, Telio","4025 Washington St Roslindale, MA, 02131","Italian, Mexican, Burgers, Pizza, Sandwiches, Seafood, American, Wings, Pasta, Salads, Grill, Healthy, Subs",42.2919422,-71.1225008,"Boston"
"18","Asian Diet Food - Broadway","Asian Diet Food - John St., Chau Chow City, Three Ocean, Pings, New Golden Gate","325 Broadway New York, NY, 10007","Chinese, Japanese, Sushi, Noodles, Seafood, Soups, Wings, Chicken, Salads, Vegetarian, Asian, Healthy, Low Carb, Low Fat, Lunch Specials, Szechwan",40.71608,-74.00493,"New York City"
"19","Asian Diet Food - John St.","Asian Diet Food - Broadway, Chau Chow City, China Bo ($1 Chinese Rice/#1 Chinese Food), Three Ocean, Pings","70 John St New York, NY, 10038","Chinese, Japanese, Sushi, Noodles, Seafood, Soups, Wings, Chicken, Salads, Vegetarian, Asian, Healthy, Low Fat, Lunch Specials",40.70868,-74.00729,"New York City"
"20","Atlantic Fish Company","Pearl Oyster Bar, Old Port Sea Grill & Raw Bar, Tracks Raw Bar & Grill, Grand Central Oyster Bar, Street & Co.","761 Boylston St Boston, MA, 02116","Seafood, New England",42.3492534,-71.0811514,"Boston"
"21","Atlantic Grill East","Fish Tag, Taverna Kyclades, Kellari Taverna, Thalassa, Ostra","1341 3rd Ave New York, NY, 10021","American (New), Sushi, Seafood",40.77265,-73.95826,"New York City"
"22","Atlantic Grill Lincoln Center","Marea, Il Pesce, Black Crescent, The Capital Grille, Bay Kitchen Bar","49 W 64th St New York, NY, 10023","Sushi, Seafood",40.77209,-73.98135,"New York City"
"23","Aura","Aldea - Quick-Service (Lunch), Wai Cafe, East Bay Diner, Silver Star Restaurant, The Kitchen Sink","1 Seaport Ln Boston, MA, 02210","American (New), Seafood",42.34924,-71.0415124,"Boston"
"24","Avra","Thalassa, Kellari Taverna, Taverna Kyclades, Fish Tag, Atlantic Grill East","141 E 48th St New York, NY, 10017","Greek, Mediterranean, Seafood",40.75511,-73.97259,"New York City"
"25","B&G Oysters","The Clam, Docks, Hunt & Fish Club, The Water Club, Old Port Sea Grill & Raw Bar","550 Tremont St Boston, MA, 02116","Seafood, New England",42.343915,-71.071329,"Boston"
"26","Babalu","Bubba Gump Shrimp Co. 1501, The Tap, Francisco's Centro Vasco, Sevilla, El Rey de la Caridad, Caridad","327 W 44th St New York, NY, 10036","Cuban, Peruvian, Seafood, American",40.75927,-73.99015,"New York City"
"27","Bait & Hook","Tia's, City Crab & Seafood Co., Clambakes By Jim Sanford, Chart House, Tracks Raw Bar & Grill","231 2nd Ave New York, NY, 10003","Seafood",40.7326,-73.98501,"New York City"
"28","Bangkok Grand Palace","Thai North Catering, Phu-Ket Thai Restaurant, Markt Restaurant, Lure Fish Bar, Molyvos","882 1st Ave New York, NY, 10022","Thai, Seafood, Vegetarian",40.75363,-73.96604,"New York City"
"29","Bar Belly","Umberto's Clam House, Joseph's, Crepes du Nord, Cucina Di Pesce, Crispin's","14 Orchard St New York, NY, 10002","Seafood, Cocktails",40.71502,-73.99169,"New York City"
"30","Barchetta","Esca, Virgola, Bay Kitchen Bar, Red Hook Lobster Pound 365, Flex Mussels, Flex Mussels","461 W 23rd St New York, NY, 10011","Italian, Seafood",40.74765,-74.00352,"New York City"
"31","Barfish Bistro","Ostra, Fish Tag, Atlantic Grill East, Kellari Taverna, Taverna Kyclades","643 Broadway New York, NY, 10012","Seafood",40.72675,-73.99602,"New York City"
"32","Barking Crab","Union Oyster House, Blackstone Grill, Hank's Seafood Restaurant, Captain Marden's Seafoods, Fish Market","88 Sleeper St Boston, MA, 02210","Seafood, New England",42.3538179,-71.0486393,"Boston"
"33","Barney Greengrass","Luke's Lobster 242, L'Espalier, Russ & Daughters Cafe, Caviar Russe, Beluga Bar by Caviarteria","541 Amsterdam Ave New York, NY, 10024","Deli Food, Sandwiches, Seafood",40.78809,-73.97433,"New York City"
"34","Bay Kitchen Bar","Virgola, Black Crescent, The Capital Grille, Red Hook Lobster Pound 365, Flex Mussels, Flex Mussels","321 E 73rd St New York, NY, 10021","Seafood",40.76912,-73.95655,"New York City"
"35","Beekman Beer Garden","Sparks Steak House, Upstate, Pisacane Fish & Seafood, Grey Lady, Four Winds Seafood Grille","89 South St New York, NY, 10038","German, Seafood, Bar Food",40.70577,-74.00179,"New York City"
"36","Beluga Bar by Caviarteria","Caviar Russe, Russ & Daughters Cafe, L'Espalier, Luke's Lobster 242, Barney Greengrass","75 Murray St New York, NY, 10007","Seafood, Cocktails, Other",40.71486,-74.01053,"New York City"
"37","Ben & Jack's Steakhouse","Mare Seafood, Mare Seafood, Harbour Lights, Harbour Lights, The Mermaid Inn, The Mermaid Inn, The Mermaid Inn, The Mermaid Inn","255 5th Ave New York, NY, 10016","Seafood, Steak",40.74489,-73.98688,"New York City"
"38","Ben & Jack's Steakhouse","Mare Seafood, Mare Seafood, Harbour Lights, Harbour Lights, The Mermaid Inn, The Mermaid Inn, The Mermaid Inn, The Mermaid Inn","219 E 44th St New York, NY, 10017","Seafood, Steak",40.75185,-73.97252,"New York City"
"39","Ben & Jack's Steakhouse 219","Long John Silver's, Famous Fish Market, Luke's Lobster 426, Amsterdam Ave Fish, Crab Shack, The Crab Shack 8486, The Crab Shack 1901","2190 Fredrick Douglas Blvd New York City, NY, 10026","Seafood, American, Wings, Chicken, Breakfast",40.80574,-73.9541,"New York City"
"40","Ben & Jack's Steakhouse 255","Tommy Bahama, Saigon Seafood Restaurant, Cevich, Bubba Gump Shrimp Co. 1501, Babalu","259 Front St New York, NY, 10038","Southwestern, Mexican, Seafood",40.7081,-74.00046,"New York City"
"41","Benjamin Steakhouse","Stockyard, LTK, Harp Raw Bar & Grill, City Lobster & Steakhouse, Wild Edibles","52 E 41st St New York, NY, 10016","Seafood, Steak",40.75163,-73.97909,"New York City"
"42","Benvenuto Caffe","Miramar, Four Winds Seafood Grille, Ma Dukes Manhattan Island Seafood, La Pulperia, Harborside Grill and Patio","950 Broadway New York, NY, 10010","Italian, Pizza, Sandwiches, Seafood, Soups, American, Pasta, Wraps, Salads, Vegetarian, Breakfast, Healthy",40.74104,-73.98898,"New York City"
"43","Black Crescent","Il Pesce, Marea, Atlantic Grill Lincoln Center, The Capital Grille, Bay Kitchen Bar","76 Clinton St New York, NY, 10002","Seafood, Cocktails",40.71892,-73.985,"New York City"
"44","Blackstone Grill","Hank's Seafood Restaurant, Captain Marden's Seafoods, Barking Crab, Union Oyster House, Fish Market","15 Union St Boston, MA, 02108","Seafood, American, New England",42.36085,-71.056624,"Boston"
"45","Blossom","Boston Sail Loft, Weathervane Seafood Restaurant, Jeremy's Ale House, Fish Market, Brother's Crawfish","171 E Bay St Charleston, SC, 29401","Seafood, American",32.778945,-79.9272716,"Charleston"
