"","Restaurant","Cuisine","Address"
"1","The Tap","Sandwiches, Seafood, Wings","19 Union St Boston, MA, 02108"
"2","Harborside Grill and Patio","American (New), Seafood","101 Harborside Dr Boston, MA, 02128"
"3","L'Espalier","French, Seafood, Vegetarian, New England","774 Boylston St Boston, MA, 02199"
"4","Morse Fish Company","Seafood","1401 Washington St Boston, MA, 02118"
"5","Legal Sea Foods","Seafood, New England","255 State St Boston, MA, 02109"
"6","Four Winds Seafood Grille","Southwestern, Seafood","266 Commercial St Boston, MA, 02109"
"7","Rincon Limeno Restaurant","Peruvian, Seafood, South American","409 Chelsea St Boston, MA, 02128"
"8","Island Creek Oyster Bar","Seafood, Gastropub, Local/Organic, New England","500 Commonwealth Ave Boston, MA, 02215"
"9","LTK","American (New), Seafood, New England","225 Northern Ave Boston, MA, 02210"
"10","The Daily Catch","Seafood","323 Hanover St Boston, MA, 02113"
"11","Chau Chow City","Chinese, Seafood","83 Essex St Boston, MA, 02111"
"12","Towne Stove and Spirits","American (New), Seafood, Eclectic & International, Cocktails","900 Boylston St Boston, MA, 02115"
"13","Oceanaire","Seafood, New England","40 Court St Boston, MA, 02108"
"14","Bubor Cha Cha","Chinese, Dim Sum, Seafood","45 Beach St Boston, MA, 02111"
"15","Blackstone Grill","Seafood, American, New England","15 Union St Boston, MA, 02108"
"16","Boston Sail Loft","Seafood, American","80 Atlantic Ave Boston, MA, 02110"
"17","Atlantic Fish Company","Seafood, New England","761 Boylston St Boston, MA, 02116"
"18","Royal Roast Beef and Seafood","Sandwiches, Seafood, New England","752 Bennington St East Boston, MA, 02128"
"19","Yankee Lobster","Seafood, New England","300 Northern Ave Boston, MA, 02210"
"20","75 Chestnut","American (New), Seafood, American","75 Chestnut St Boston, MA, 02108"
"21","Durgin Park","Seafood, American, New England","340 N Market St Boston, MA, 02109"
"22","The Upper Crust Pizzeria","Italian, Pizza, Seafood, Pasta","20 Charles St Boston, MA, 02114"
"23","Salty Dog Seafood Grille & Bar","Seafood","206 Faneuil Hall Marketplace Boston, MA, 02109"
"24","McCormick & Schmick's","Seafood, Steak","Faneuil Hall Marketplace Boston, MA, 02109"
"25","James Hook & Co Lobsters","Seafood","15 Northern Ave Boston, MA, 02210"
"26","Abe & Louie's Steakhouse","Seafood, Steak","793 Boylston St Boston, MA, 02116"
"27","New Jumbo Seafood","Chinese, Seafood","5 Hudson St Boston, MA, 02111"
"28","Aura","American (New), Seafood","1 Seaport Ln Boston, MA, 02210"
"29","Kipo's","Pizza, Sandwiches, Seafood","106 Bunker Hill St Charlestown, MA, 02129"
"30","New Golden Gate","Chinese, Seafood, Vegetarian","66 Beach St Boston, MA, 02111"
"31","Neptune Oyster","Seafood, New England","63 Salem St Boston, MA, 02113"
"32","Miel","French, Seafood","510 Atlantic Ave Boston, MA, 02210"
"33","Tia's","Seafood","200 Atlantic Ave Boston, MA, 02110"
"34","B&G Oysters","Seafood, New England","550 Tremont St Boston, MA, 02116"
"35","Legal Harborside","Seafood","270 Northern Ave Boston, MA, 02210"
"36","Dry Dock Cafe","Diner, Seafood","7 Drydock Ave Boston, MA, 02210"
"37","Off the Boat","Seafood, New England","26 Porter St East Boston, MA, 02128"
"38","No Name Restaurant","Seafood, New England","15 Fish Pier Rd Boston, MA, 02210"
"39","The Daily Catch","Seafood","2 Northern Ave Boston, MA, 02210"
"40","Union Oyster House","Seafood","41 Union St Boston, MA, 02108"
"41","Chart House","Seafood, Steak","60 Long Wharf Boston, MA, 02110"
"42","Stockyard","Seafood, Steak, American","135 Market St Brighton, MA, 02135"
"43","Legal Sea Foods","Seafood, New England","100 Huntington Ave Boston, MA, 02116"
"44","Legal Sea Foods","Seafood, New England","26 Park Plz Boston, MA, 02116"
"45","Barking Crab","Seafood, New England","88 Sleeper St Boston, MA, 02210"
"46","Captain Fishbones","Burgers, Pizza, Seafood, Soups, Steak, American, Salads","353 Cambridge St Allston, MA, 02134"
"47","East Ocean City","Chinese, Seafood","27 Beach St Boston, MA, 02111"
"48","Mare Oyster Bar","Italian, Seafood","135 Richmond St Boston, MA, 02109"
"49","Long John Silver's","Seafood, American","1560 Vfw Pkwy West Roxbury, MA, 02132"
"51","24 Hour Pizza Delivery","Italian, Pizza, Seafood, American, Wraps, Subs","686 Morton St Boston, MA, 02126"
"52","Phu-Ket Thai Restaurant","Thai, Seafood, Asian","1856 Centre St West Roxbury, MA, 02132"
"53","Brother's Crawfish","Cajun & Creole, Southern, Seafood","272 Adams St Dorchester, MA, 02122"
"54","Jasper White's Summer Shack","Seafood","50 Dalton St Boston, MA, 02115"
"55","Saigon Seafood Restaurant","Vietnamese, Seafood, Asian","270 Adams St Dorchester, MA, 02122"
"57","KO Pies","Sandwiches, Seafood","87 A St Boston, MA, 02127"
"58","GaGa Seafood","Chinese, Seafood","25 Tyler St Boston, MA, 02111"
"59","75 on Liberty Wharf","Seafood, American","220 Northern Ave Boston, MA, 02210"
"61","Captain Marden's Seafoods","Sandwiches, Seafood","Location Varies Boston, MA, 02201"
"62","Boston Chops","Seafood, Steak","1375 Washington Street Boston, MA, 02118"
