"","Restaurant","Cuisine","Address"
"1","The Crab Shack","Seafood, American","1901 Ashley River Rd Charleston, SC, 29407"
"3","Crab Shack","Seafood, American","800 Century Pl Charleston, SC, 29412"
"4","The Boathouse","Seafood, American","38 Romney St Charleston, SC, 29403"
"5","The Boathouse","Seafood, American","549 E Bay St Charleston, SC, 29403"
"6","The Boathouse","Seafood, American","10 Exchange St Charleston, SC, 29401"
"7","Charleston Crab House","Seafood, American","145 Wappoo Creek Drive Charleston, SC, 29412"
"8","Charleston Crab House","Seafood, American","41 S Market St Charleston, SC, 29401"
"9","The Crab Shack","Seafood, American","8486 Dorchester Rd Charleston, SC, 29420"
"10","Fleet Landing","Seafood, American","186 Concord St Charleston, SC, 29401"
"11","Huff's Seafood","Seafood, American","837 Folly Rd Charleston, SC, 29412"
"12","Locklear's Fine Seafood","Seafood, American","504 Folly Rd Charleston, SC, 29412"
"13","Pearlz Oyster Bar","Seafood, American","153 E Bay St Charleston, SC, 29401"
"14","Fish","Seafood, American","442 King St Charleston, SC, 29403"
"15","Coast","Seafood, American","39 John St Charleston, SC, 29403"
"16","Cypress Restaurant","Seafood, American","167 E Bay St Charleston, SC, 29401"
"17","Anson","Seafood, American","12 Anson St Charleston, SC, 29401"
"18","Captain D's","Seafood, American","1936 Savannah Hwy Charleston, SC, 29407"
"19","Captain D's","Seafood, American","4008 Rivers Ave Charleston, SC, 29405"
"20","Captain D's","Seafood, American","5130 Ashley Phosphate Rd Charleston, SC, 29418"
"21","Captain D's","Seafood, American","6326 Rivers Ave North Charleston, SC, 29410"
"22","Bubba Gump Shrimp Co.","Seafood, American","99 S Market St Charleston, SC, 29401"
"23","A W Shuck's Seafood","Seafood, American","35 S Market St Charleston, SC, 29401"
"24","Red Lobster","Seafood, American","2080 Sam Rittenburg Blvd Charleston, SC, 29407"
"25","Red Lobster","Seafood, American","2460 Mall Dr North Charleston, SC, 29406"
"26","Blossom","Seafood, American","171 E Bay St Charleston, SC, 29401"
"27","Hank's Seafood Restaurant","Seafood, American","10 Hayne St Charleston, SC, 29401"
"28","Hyman's Seafood","Seafood, American","213 Meeting St Charleston, SC, 29401"
"29","Amen Street Fish & Rawbar","Seafood","205 E Bay St Charleston, SC, 29401"
"30","Pearlz Oyster Bar","Seafood","9 Magnolia Road Charleston, SC, 29407"
