"","Restaurant","Cuisine","Address"
"1","Fish & Shrimp","Seafood","2089 Amsterdam Ave New York, NY, 10032"
"2","Harp Raw Bar & Grill","Seafood, Soul Food","729 3rd Ave New York, NY, 10017"
"3","Ricardo Ocean Grill","Mediterranean, Seafood","2312 2nd Ave New York, NY, 10035"
"4","Empire Steak House","Seafood, Steak","237 W 54th St New York, NY, 10019"
"6","La Pulperia","Seafood, South American, Cocktails","1626 2nd Ave New York, NY, 10028"
"7","Dorian's Seafood Market","Seafood","1580 York Ave New York, NY, 10028"
"8","Bay Kitchen Bar","Seafood","321 E 73rd St New York, NY, 10021"
"9","Lobster Boat Restaurant","Chinese, Seafood","11 Mott St New York, NY, 10013"
"10","Pier A","Seafood","22 Battery Pl New York, NY, 10004"
"11","Bombay's Indian Restaurant","Indian, Seafood, Chicken, Salads, Asian, Healthy","60 Pearl St New York, NY, 10004"
"12","North River Lobster Company","Seafood","Pier 81 New York, NY, 10036"
"13","The Boil","Seafood","139 Chrystie St New York, NY, 10002"
"14","Claw Daddy's","Cajun & Creole, Seafood","185 Orchard St New York, NY, 10002"
"15","Upstate","Seafood, Tapas","95 1st Ave New York, NY, 10003"
"16","Prime 333","Seafood, Steak","333 E 60th St New York, NY, 10022"
"17","Crave Fishbar","Seafood","945 2nd Ave New York, NY, 10022"
"18","Miramar","Seafood","21 S End Ave New York, NY, 10280"
"19","Caviar Russe","Russian, Seafood","538 Madison Ave New York, NY, 10022"
"20","Crepes du Nord","French, Sandwiches, Seafood, Soups, American, Desserts, Wraps, Vegetarian, Breakfast, Fresh Fruit, Healthy","17 S William St New York, NY, 10004"
"21","Nerai","Greek, Seafood","55 E 54th St New York, NY, 10022"
"22","Ichiumi","Japanese, Sushi, Seafood","6 E 32nd St New York, NY, 10016"
"23","Luke's Lobster","Seafood, Soups, New England","26 S William St New York, NY, 10004"
"24","Villa Mosconi","Italian, Seafood","69 MacDougal St New York, NY, 10012"
"25","The Capital Grille","Seafood, Steak","120 W 51st St New York, NY, 10020"
"26","Ben & Jack's Steakhouse","Seafood, Steak","255 5th Ave New York, NY, 10016"
"27","Le Jardin Bistro","French, Seafood, Bistro","115 Avenue C New York, NY, 10009"
"28","The Lobster Place","Sushi, Seafood, Soups","75 9th Ave New York, NY, 10011"
"29","The Sea Fire Grill","Seafood","158 E 48th St New York, NY, 10017"
"30","Montes Trattoria","Italian, Seafood","97 MacDougal St New York, NY, 10012"
"31","North End Grill","American (New), Seafood","104 North End Ave New York, NY, 10282"
"32","Benjamin Steakhouse","Seafood, Steak","52 E 41st St New York, NY, 10016"
"33","Le Bernardin","French, Seafood, Cocktails","155 W 51st St New York, NY, 10019"
"34","Cavatappo Grill","Italian, Seafood, Pasta, Salads, Grill, Healthy","1712 1st Ave New York, NY, 10128"
"35","Tracks Raw Bar & Grill","Seafood, American","1 Pennsylvania Plz New York, NY, 10119"
"36","El Quijote","Spanish, Seafood, Tapas","226 W 23rd St New York, NY, 10011"
"37","Pee Dee Steak II","Seafood, Steak","50 W 125th St New York, NY, 10027"
"38","Red Hook Lobster Pound","Sandwiches, Seafood","Location Varies New York, NY, 10022"
"39","Burger & Lobster","Burgers, Seafood","39 W 19th St New York, NY, 10011"
"40","Cucina Di Pesce","Italian, Seafood","87 E 4th St New York, NY, 10003"
"41","Blue Fin","American (New), Sushi, Seafood, Cocktails","1567 Broadway New York, NY, 10036"
"42","Fish Tag","Mediterranean, Seafood, Tapas, Wild Game","222 W 79th St New York, NY, 10024"
"43","Luke's Lobster","Seafood, Soups, New England","242 E 81st St New York, NY, 10028"
"44","Mermaid Oyster Bar","Seafood, Cocktails","79 MacDougal St New York, NY, 10012"
"45","Fish Market","Seafood, Wings, Fish & Chips","111 South St New York, NY, 10038"
"46","Iron Sushi","Japanese, Sushi, Noodles, Seafood, Soups, Desserts, Vegetarian, Asian, Healthy, Lunch Specials, Vegan","212 E 10th St New York, NY, 10003"
"47","L&W Oyster Co.","American (New), Seafood","254 5th Ave New York, NY, 10001"
"48","Ben & Jack's Steakhouse","Seafood, Steak","219 E 44th St New York, NY, 10017"
"49","Fuleen Seafood","Chinese, Seafood","11 Division St New York, NY, 10002"
