"","Restaurant","Cuisine","Address"
"1","DiMillo's Floating Restaurant & Marina","Seafood, American","25 Union Wharf Portland, ME, 04101"
"2","J's Oyster","Seafood, American","5 Portland Portland, ME, 04101"
"3","Gilbert's Chowder House","Seafood, American","92 Commercial St Portland, ME, 04101"
"4","Old Port Sea Grill & Raw Bar","Seafood, American","93 Commercial St Portland, ME, 04101"
"5","Susan's Fish N Chips","Seafood","1135 Forest Ave Portland, ME, 04103"
"6","Walter's","Seafood, American","15 Exchange St Portland, ME, 04101"
"7","Street & Co.","Seafood, American","33 Wharf St Portland, ME, 04101"
"8","The Lobster Shack","Seafood, American","225 Two Lights Rd Cape Elizabeth, ME, 04107"
"9","The Falmouth Sea Grill","Seafood, American","215 Foreside Rd Falmouth, ME, 04105"
"10","Weathervane Seafood Restaurant","Burgers, Sandwiches, Seafood, American, Pasta, Salads","380 Gorham Rd Portland, ME, 04106"
