Address,Latitude,Longitude
"2089 Amsterdam Ave New York, NY, 10032",40.8368277,-73.9387605
"729 3rd Ave New York, NY, 10017",40.752866,-73.972571
"2312 2nd Ave New York, NY, 10035",40.7985836,-73.9362806
"237 W 54th St New York, NY, 10019",40.764488,-73.9830568
"1626 2nd Ave New York, NY, 10028",40.7766062,-73.9523075
"1580 York Ave New York, NY, 10028",40.7740508,-73.9481746
"321 E 73rd St New York, NY, 10021",40.7691189,-73.9565469
"11 Mott St New York, NY, 10013",40.7140628,-73.998918
"22 Battery Pl New York, NY, 10004",40.7044103,-74.0179397
"60 Pearl St New York, NY, 10004",40.703419,-74.0110768
"Pier 81 New York, NY, 10036",40.7617656,-74.0025236
"139 Chrystie St New York, NY, 10002",40.7197755,-73.9934542
"185 Orchard St New York, NY, 10002",40.7219949,-73.9883827
"95 1st Ave New York, NY, 10003",40.7263542,-73.9865533
"333 E 60th St New York, NY, 10022",40.760847,-73.9622976
"945 2nd Ave New York, NY, 10022",40.7551309,-73.9687005
"21 S End Ave New York, NY, 10280",40.7081329,-74.017798
"538 Madison Ave New York, NY, 10022",40.7607667,-73.9738498
"17 S William St New York, NY, 10004",40.7044548,-74.01048
"55 E 54th St New York, NY, 10022",40.7603029,-73.973017
"6 E 32nd St New York, NY, 10016",40.746545,-73.9849822
"26 S William St New York, NY, 10004",40.7045175,-74.0109504
"69 MacDougal St New York, NY, 10012",40.7285929,-74.002001
"120 W 51st St New York, NY, 10020",40.7607952,-73.9812268
"255 5th Ave New York, NY, 10016",40.7448911,-73.9868772
"115 Avenue C New York, NY, 10009",40.7244048,-73.9787807
"75 9th Ave New York, NY, 10011",40.7424509,-74.0059581
"158 E 48th St New York, NY, 10017",40.7546919,-73.9722216
"97 MacDougal St New York, NY, 10012",40.7296284,-74.0011607
"104 North End Ave New York, NY, 10282",40.7154302,-74.0154465
"52 E 41st St New York, NY, 10016",40.7516345,-73.9790926
"155 W 51st St New York, NY, 10019",40.7615691,-73.9818048
"1712 1st Ave New York, NY, 10128",40.778504,-73.947892
"1 Pennsylvania Plz New York, NY, 10119",40.7513773,-73.9924884
"226 W 23rd St New York, NY, 10011",40.7445548,-73.9969304
"50 W 125th St New York, NY, 10027",40.8069489,-73.9441909
"Location Varies New York, NY, 10022",40.7569246,-73.9718008
"39 W 19th St New York, NY, 10011",40.7400574,-73.9933563
"87 E 4th St New York, NY, 10003",40.72651,-73.9897689
"1567 Broadway New York, NY, 10036",40.7594131,-73.9856617
"222 W 79th St New York, NY, 10024",40.7833293,-73.9794561
"242 E 81st St New York, NY, 10028",40.7745702,-73.9546724
"79 MacDougal St New York, NY, 10012",40.7288916,-74.0018697
"111 South St New York, NY, 10038",40.7071693,-74.0019226
"212 E 10th St New York, NY, 10003",40.7292803,-73.9860746
"254 5th Ave New York, NY, 10001",40.7449771,-73.9874335
"219 E 44th St New York, NY, 10017",40.7518502,-73.9725168
"11 Division St New York, NY, 10002",40.7139305,-73.9968965
"1490 St Nicholas Ave New York, NY, 10033",40.851428,-73.9319127
"764 10th Ave New York, NY, 10019",40.7657442,-73.9906998
"62 Charles St New York, NY, 10014",40.7348316,-74.0029255
"4 W 22nd St New York, NY, 10010",40.7409362,-73.9907851
"172 Bleecker St New York, NY, 10012",40.7287669,-74.0007378
"96 2nd Ave New York, NY, 10003",40.7270204,-73.9884895
"871 7th Ave New York, NY, 10019",40.7644845,-73.9805464
"240 E 81st St New York, NY, 10028",40.774702,-73.9546495
"1489 2nd Ave New York, NY, 10075",40.7724612,-73.9559818
"228 Front St New York, NY, 10038",40.7077131,-74.0021248
"142 Mercer St New York, NY, 10012",40.724703,-73.9983278
"890 7th Ave New York, NY, 10106",40.7651937,-73.9806837
"828 8th Avenue New York, NY, 10019",40.7620338,-73.9860573
