Address,Latitude,Longitude
"25 Union Wharf Portland, ME, 04101",43.6540933,-70.2534285
"5 Portland Portland, ME, 04101",43.6587381,-70.262005
"92 Commercial St Portland, ME, 04101",43.6568441,-70.2505061
"93 Commercial St Portland, ME, 04101",43.6573362,-70.2506683
"1135 Forest Ave Portland, ME, 04103",43.6860231,-70.2918727
"15 Exchange St Portland, ME, 04101",43.6569016,-70.2534878
"33 Wharf St Portland, ME, 04101",43.6558841,-70.2540164
"225 Two Lights Rd Cape Elizabeth, ME, 04107",43.564353,-70.198458
"215 Foreside Rd Falmouth, ME, 04105",43.7288958,-70.2093851
"380 Gorham Rd Portland, ME, 04106",43.6361051,-70.3319528
